DATUM,PRIS,SUBSTANSVÄRDE,BERÄKNAT_SUBSTANSVÄRDE,DISCOUNT/PREMIUM
2021-08-27,204.7,215.0,233.41,0.1402540302882267
2021-08-30,206.7,215.0,233.45,0.129414610546686
2021-08-31,206.4,215.0,231.85,0.1233042635658914
2021-09-01,208.2,215.0,230.95,0.1092699327569644
2021-09-02,209.1,215.0,234.19,0.1199904351984696
2021-09-03,205.9,215.0,233.09,0.1320543953375424
2021-09-06,208.3,215.0,233.93,0.1230436869899183
2021-09-07,204.9,215.0,232.47,0.1345534407027818
2021-09-08,202.8,215.0,229.55,0.1319033530571992
2021-09-09,202.8,215.0,230.72,0.1376725838264299
2021-09-10,203.6,215.0,231.18,0.1354616895874263
2021-09-13,200.5,215.0,230.23,0.1482793017456358
2021-09-14,202.4,215.0,231.35,0.1430335968379446
2021-09-15,200.95,215.0,230.19,0.1455088330430456
2021-09-16,201.35,215.0,231.82,0.1513285324062577
2021-09-17,197.84,215.0,229.33,0.1591690254751314
2021-09-20,192.7,215.0,224.96,0.1674104826154645
2021-09-21,193.74,215.0,224.63,0.1594404872509548
2021-09-22,194.0,215.0,225.72,0.1635051546391752
2021-09-23,197.8,215.0,228.57,0.155561172901921
2021-09-24,194.66,215.0,226.51,0.1636186170759272
2021-09-27,194.54,215.0,225.5,0.1591446489153902
2021-09-28,188.64,215.0,221.25,0.1728689567430026
2021-09-29,188.94,215.0,222.05,0.1752408171906426
2021-09-30,189.14,215.0,223.17,0.1799196362482817
2021-10-01,190.0,215.0,222.24,0.1696842105263158
2021-10-04,186.74,215.0,221.1,0.1839991431937452
2021-10-05,189.14,215.0,223.57,0.182034471819816
2021-10-06,185.5,215.0,221.8,0.1956873315363882
2021-10-07,189.38,215.0,224.94,0.1877706199176259
2021-10-08,187.68,215.0,223.39,0.1902706734867859
2021-10-11,187.24,215.0,223.46,0.1934415723136082
2021-10-12,190.44,215.0,224.53,0.179006511237135
2021-10-13,192.56,215.0,226.29,0.1751661819692563
2021-10-14,195.84,215.0,227.94,0.1639093137254901
2021-10-15,196.94,215.0,229.29,0.1642632273788971
2021-10-18,195.02,223.0,229.24,0.1754691826479335
2021-10-19,197.64,223.0,230.19,0.1646933819064967
2021-10-20,196.74,223.0,231.34,0.1758666260038629
2021-10-21,196.64,223.0,231.42,0.1768714401952807
2021-10-22,199.56,223.0,233.62,0.1706754860693526
2021-10-25,199.02,223.0,232.94,0.1704351321475228
2021-10-26,200.9,223.0,234.81,0.1687904430064708
2021-10-27,200.85,223.0,233.66,0.1633557381130196
2021-10-28,200.6,223.0,234.28,0.1678963110667996
2021-10-29,197.9,223.0,233.91,0.1819605861546235
2021-11-01,200.95,223.0,233.66,0.1627768101517791
2021-11-02,202.2,223.0,235.85,0.1664193867457963
2021-11-03,205.55,223.0,237.52,0.1555339333495499
2021-11-04,208.8,223.0,239.06,0.1449233716475095
2021-11-05,209.15,223.0,239.53,0.1452546019603155
2021-11-08,208.25,223.0,240.07,0.152797118847539
2021-11-09,206.05,223.0,239.83,0.1639407910701286
2021-11-10,207.2,223.0,240.97,0.1629826254826255
2021-11-11,208.8,223.0,242.71,0.1624042145593869
2021-11-12,218.95,223.0,243.46,0.1119433660653118
2021-11-15,218.35,223.0,244.64,0.1204030226700251
2021-11-16,217.4,223.0,245.61,0.1297608095676173
2021-11-17,218.0,223.0,245.71,0.1271100917431193
2021-11-18,216.15,223.0,244.87,0.1328706916493175
2021-11-19,215.5,223.0,245.99,0.1414849187935035
2021-11-22,215.05,223.0,246.66,0.1469890723087653
2021-11-23,211.5,223.0,242.16,0.1449645390070922
2021-11-24,210.85,223.0,243.49,0.1548019919373963
2021-11-25,213.55,223.0,243.97,0.1424490751580425
2021-11-26,205.35,223.0,238.79,0.1628439250060871
2021-11-29,211.85,223.0,241.87,0.1417040358744395
2021-11-30,209.95,223.0,240.82,0.1470350083353179
2021-12-01,213.2,223.0,242.85,0.1390712945590994
2021-12-02,212.75,223.0,241.09,0.1332079905992949
2021-12-03,210.9,223.0,238.17,0.1293029871977239
2021-12-06,213.25,223.0,238.24,0.1171864009378663
2021-12-07,220.45,223.0,243.34,0.1038330687230665
2021-12-08,218.4,223.0,243.81,0.1163461538461538
2021-12-09,219.8,223.0,244.17,0.1108735213830754
2021-12-10,218.7,223.0,242.6,0.1092821216278006
2021-12-13,218.0,223.0,242.37,0.111788990825688
2021-12-14,215.2,223.0,239.14,0.1112453531598512
2021-12-15,218.35,223.0,240.31,0.1005724753835585
2021-12-16,217.35,223.0,243.5,0.1203128594432942
2021-12-17,216.7,223.0,241.72,0.1154591601292109
2021-12-20,213.75,223.0,239.71,0.1214502923976608
2021-12-21,215.15,223.0,242.83,0.1286544271438531
2021-12-22,215.9,223.0,244.19,0.1310328855951829
2021-12-23,221.2,223.0,246.33,0.1136075949367089
2021-12-24,221.2,223.0,246.33,0.1136075949367089
2021-12-27,225.35,223.0,247.53,0.0984246727313069
2021-12-28,227.55,223.0,248.27,0.0910569105691056
2021-12-29,227.35,223.0,247.91,0.090433252694084
2021-12-30,227.75,223.0,247.35,0.086059275521405
2021-12-31,227.75,223.0,247.37,0.0861470911086718
2022-01-03,230.65,223.0,248.82,0.0787773683069585
2022-01-04,232.8,223.0,249.3,0.0708762886597938
2022-01-05,228.0,223.0,247.74,0.086578947368421
2022-01-06,228.0,223.0,247.51,0.0855701754385964
2022-01-07,225.45,223.0,242.66,0.0763362164559769
2022-01-10,218.8,223.0,237.63,0.0860603290676416
2022-01-11,218.55,223.0,240.01,0.098192633264699
2022-01-12,219.5,223.0,242.64,0.1054214123006833
2022-01-13,216.75,223.0,240.97,0.1117416378316032
2022-01-14,208.65,223.0,236.57,0.1338126048406421
2022-01-17,210.35,223.0,237.96,0.1312574280960305
2022-01-18,203.4,223.0,235.27,0.1566863323500492
2022-01-19,205.3,223.0,235.98,0.1494398441305405
2022-01-20,208.0,223.0,238.08,0.1446153846153846
2022-01-21,203.75,248.0,235.62,0.1564171779141104
2022-01-24,194.28,248.0,226.82,0.167490220300597
2022-01-25,196.8,248.0,226.18,0.1492886178861788
2022-01-26,200.25,248.0,229.24,0.144769038701623
2022-01-27,198.42,248.0,227.27,0.1453986493297047
2022-01-28,197.56,248.0,225.41,0.1409698319497873
2022-01-31,200.35,248.0,228.41,0.1400549039181432
2022-02-01,202.3,248.0,230.39,0.138853188334157
2022-02-02,205.8,248.0,231.91,0.1268707482993196
2022-02-03,200.45,248.0,227.71,0.1359940134696932
2022-02-04,198.3,248.0,224.53,0.1322743318204739
2022-02-07,199.2,248.0,225.79,0.1334839357429719
2022-02-08,198.64,248.0,224.6,0.130688683044704
2022-02-09,204.3,248.0,228.47,0.1183064121390111
2022-02-10,202.8,248.0,228.64,0.1274161735700195
2022-02-11,201.4,248.0,226.09,0.122591857000993
2022-02-14,194.96,248.0,222.96,0.1436192039392695
